model,data,n,bias,MAE,median AE,SD,P90,over50,within15,usable,slope,sens,spec,acc,MAE/floor,ratio
dwt,ISP held out,94,11.77,37.0,29.29,50.45,64.22,20.21,26.6,98.95,0.43,54.55,50.82,52.13,4.83,1.44
dwt,LUDB unseen,194,21.4,53.34,46.22,68.31,122.03,46.91,29.38,97.0,0.37,52.63,57.69,56.7,6.96,1.44
cwt,ISP held out,86,-1.04,26.41,17.7,50.13,45.61,8.14,43.02,90.53,1.08,67.74,85.45,79.07,3.45,1.74
cwt,LUDB unseen,146,31.53,46.03,30.42,58.79,76.41,28.08,4.79,73.0,0.87,81.48,62.18,65.75,6.01,1.74
qtcnet,ISP held out,94,-21.81,26.15,21.86,26.26,43.03,6.38,26.6,98.95,0.45,15.15,98.36,69.15,3.41,0.63
qtcnet,LUDB unseen,197,-7.61,16.45,9.47,28.65,34.43,5.08,67.51,98.5,0.53,48.78,98.08,87.82,2.15,0.63
unet,ISP held out,93,-10.8,14.49,7.74,31.9,22.97,3.23,75.27,97.89,0.53,65.62,96.72,86.02,1.89,1.98
unet,LUDB unseen,196,12.59,28.69,21.19,40.51,48.87,9.69,24.49,98.0,0.48,75.0,82.05,80.61,3.75,1.98
beatssl,ISP held out,94,-8.57,12.82,7.93,28.3,23.24,3.19,78.72,98.95,0.55,66.67,91.8,82.98,1.67,2.14
beatssl,LUDB unseen,196,6.36,27.44,21.29,42.02,45.09,9.18,31.63,98.0,0.36,60.0,84.62,79.59,3.58,2.14
physiowave,ISP held out,94,-9.96,17.92,9.72,28.81,40.1,6.38,61.7,98.95,0.51,60.61,86.89,77.66,2.34,1.81
physiowave,LUDB unseen,196,6.76,32.52,19.77,54.07,80.14,16.33,35.2,98.0,0.23,52.5,82.05,76.02,4.25,1.81
