model,setting,Toff bias,Toff MAE,QTc bias,QTc MAE,SD
unet,none,8.06,17.69,12.59,28.69,40.51
unet,tangent +/-20,-8.23,16.26,-5.38,18.13,36.15
unet,tangent +/-30,-15.1,21.6,-12.78,20.79,35.96
unet,knee +/-20,-3.29,13.66,-0.27,20.12,38.13
unet,knee +/-30,-6.17,15.33,-3.19,20.3,38.61
unet,both +/-20,-7.35,15.24,-4.72,18.34,37.93
unet,both +/-30,-11.72,18.09,-9.14,19.16,38.07
beatssl,none,3.83,19.27,6.36,27.44,42.02
beatssl,tangent +/-20,-12.08,18.62,-10.45,17.86,34.77
beatssl,tangent +/-30,-19.15,23.67,-18.26,21.31,34.21
beatssl,knee +/-20,-6.42,15.32,-4.8,19.87,37.09
beatssl,knee +/-30,-9.52,16.81,-8.58,20.72,38.45
beatssl,both +/-20,-10.72,17.23,-8.97,17.91,35.85
beatssl,both +/-30,-15.14,19.69,-14.13,19.68,36.73
physiowave,none,11.1,24.78,6.76,32.52,54.07
physiowave,tangent +/-20,-5.6,22.28,-12.27,26.25,52.38
physiowave,tangent +/-30,-12.23,25.12,-20.14,29.28,51.89
physiowave,knee +/-20,-0.29,18.71,-6.27,26.28,53.37
physiowave,knee +/-30,-3.79,18.97,-10.84,26.89,54.19
physiowave,both +/-20,-4.0,20.38,-10.21,25.32,52.86
physiowave,both +/-30,-8.96,21.55,-16.13,26.85,53.31
